product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm
automotivo,3300,35,20,20
perfumaria,200,16,16,16
esporte_lazer,200,21,9,13
perfumaria,514,18,12,15
casa_construcao,3100,38,28,28
utilidades_domesticas,1200,27,18,23
esporte_lazer,250,16,10,16
brinquedos,7400,45,29,53
la_cuisine,7600,55,15,55
esporte_lazer,875,40,26,20
moveis_decoracao,700,35,7,27
moveis_escritorio,900,17,10,15
esporte_lazer,700,49,12,27
cool_stuff,1150,28,10,25
cool_stuff,900,25,10,25
livros_tecnicos,2050,29,5,21
beleza_saude,2150,28,32,11
beleza_saude,490,30,5,25
brinquedos,1000,30,13,30
informatica_acessorios,200,16,4,14
utilidades_domesticas,500,19,13,20
perfumaria,1000,20,14,13
automotivo,4200,78,4,47
perfumaria,350,16,11,11
telefonia,125,19,3,11
utilidades_domesticas,4100,51,31,31
consoles_games,300,23,3,11
utilidades_domesticas,8400,50,28,31
utilidades_domesticas,1550,46,10,35
utilidades_domesticas,600,17,17,18
fashion_bolsas_e_acessorios,200,16,2,20
automotivo,500,16,21,18
construcao_ferramentas_ferramentas,1250,22,17,20
informatica_acessorios,667,27,19,20
cama_mesa_banho,300,40,4,30
perfumaria,400,18,18,12
esporte_lazer,450,25,25,25
automotivo,2800,16,2,11
moveis_decoracao,250,20,6,11
moveis_decoracao,250,35,5,25
pet_shop,300,24,12,12
moveis_decoracao,1000,35,25,25
moveis_decoracao,6267,36,40,36
esporte_lazer,2653,53,15,36
automotivo,8500,18,29,13
esporte_lazer,2120,26,25,25
eletroportateis,750,30,30,30
beleza_saude,200,16,16,12
cama_mesa_banho,1650,35,20,30
informatica_acessorios,900,26,13,21
utilidades_domesticas,150,32,5,16
utilidades_domesticas,800,31,5,21
cool_stuff,700,20,20,20
bebidas,700,20,20,20
bebes,10400,100,23,27
instrumentos_musicais,5850,40,9,105
cama_mesa_banho,75,17,12,17
papelaria,1000,27,10,20
automotivo,1475,32,28,28
fashion_bolsas_e_acessorios,750,36,18,36
papelaria,3600,36,8,15
moveis_decoracao,2200,28,28,38
eletrodomesticos,150,20,13,15
casa_construcao,1750,30,20,30
esporte_lazer,1300,44,8,30
moveis_sala,7750,33,25,33
utilidades_domesticas,3100,32,26,21
malas_acessorios,1600,55,37,30
relogios_presentes,350,19,13,13
beleza_saude,888,18,17,18
informatica_acessorios,150,16,4,14
utilidades_domesticas,1025,25,23,25
utilidades_domesticas,250,20,9,12
cama_mesa_banho,450,45,15,35
beleza_saude,1000,16,12,13
utilidades_domesticas,400,16,9,12
telefonia,150,21,7,14
informatica_acessorios,400,16,4,16
construcao_ferramentas_jardim,9500,56,30,28
cool_stuff,300,34,5,27
perfumaria,150,22,7,16
cama_mesa_banho,550,30,5,25
automotivo,1100,37,12,30
beleza_saude,300,19,12,13
beleza_saude,850,18,10,14
relogios_presentes,500,17,22,17
esporte_lazer,750,26,23,23
beleza_saude,150,28,13,12
utilidades_domesticas,30000,76,51,51
sinalizacao_e_seguranca,325,17,17,17
telefonia,200,19,3,12
esporte_lazer,200,20,15,15
fashion_roupa_masculina,800,20,7,20
beleza_saude,700,20,16,17
automotivo,1800,22,10,18
relogios_presentes,300,19,13,13
livros_tecnicos,450,29,2,17
informatica_acessorios,400,16,21,15
cool_stuff,1635,23,30,17
moveis_decoracao,750,20,35,20
beleza_saude,500,24,20,24
consoles_games,350,20,20,20
brinquedos,200,18,13,16
cama_mesa_banho,950,26,15,19
brinquedos,300,16,17,11
beleza_saude,452,20,11,18
brinquedos,17650,45,50,45
cama_mesa_banho,1100,35,9,35
utilidades_domesticas,5250,35,15,35
brinquedos,200,16,10,11
relogios_presentes,340,47,13,13
beleza_saude,750,16,16,16
cama_mesa_banho,2650,33,10,33
utilidades_domesticas,13600,16,65,60
construcao_ferramentas_construcao,1250,30,10,20
cama_mesa_banho,3950,33,14,33
informatica_acessorios,400,38,2,29
malas_acessorios,1100,35,14,29
beleza_saude,200,16,16,16
eletrodomesticos,425,39,17,39
utilidades_domesticas,22050,55,40,60
informatica_acessorios,150,35,8,11
utilidades_domesticas,800,20,8,20
moveis_decoracao,800,40,8,35
perfumaria,650,16,10,11
fashion_roupa_feminina,500,16,2,11
cool_stuff,198,17,9,15
utilidades_domesticas,500,22,16,16
utilidades_domesticas,950,27,30,27
automotivo,3750,42,19,25
esporte_lazer,250,16,6,20
fashion_bolsas_e_acessorios,100,17,3,12
papelaria,800,22,7,15
industria_comercio_e_negocios,7225,16,103,25
cool_stuff,50,40,30,50
beleza_saude,425,20,9,18
cama_mesa_banho,950,50,5,50
brinquedos,550,32,11,20
eletrodomesticos_2,14350,41,55,31
beleza_saude,328,20,14,18
cama_mesa_banho,1950,58,15,46
beleza_saude,700,16,40,11
eletrodomesticos,1250,22,11,20
construcao_ferramentas_construcao,400,20,5,20
esporte_lazer,2320,63,33,17
ferramentas_jardim,2700,16,30,25
perfumaria,455,21,15,17
fashion_bolsas_e_acessorios,150,16,6,20
cama_mesa_banho,2200,45,25,35
cama_mesa_banho,1400,37,23,35
casa_conforto,450,45,15,35
cama_mesa_banho,835,40,9,33
cool_stuff,1250,36,16,24
informatica_acessorios,550,26,17,17
cama_mesa_banho,3850,20,30,30
cool_stuff,7000,22,52,27
cama_mesa_banho,1250,19,17,22
relogios_presentes,850,48,16,25
ferramentas_jardim,900,30,10,20
fashion_underwear_e_moda_praia,400,16,5,11
relogios_presentes,400,20,11,19
esporte_lazer,1100,24,16,15
ferramentas_jardim,850,24,13,18
relogios_presentes,400,18,11,15
audio,675,22,9,16
beleza_saude,175,19,12,13
alimentos_bebidas,1350,18,17,16
informatica_acessorios,588,20,17,15
utilidades_domesticas,450,20,10,20
automotivo,1500,68,9,33
esporte_lazer,1550,35,30,40
beleza_saude,683,31,16,16
moveis_decoracao,2500,35,9,25
bebes,500,30,6,23
esporte_lazer,300,20,34,44
beleza_saude,350,16,16,15
cool_stuff,250,16,12,11
moveis_decoracao,2900,40,10,35
informatica_acessorios,200,16,2,11
telefonia,383,16,12,13
consoles_games,200,16,16,16
informatica_acessorios,1300,30,16,16
bebidas,4300,16,15,11
beleza_saude,150,16,7,12
moveis_decoracao,400,17,8,17
cama_mesa_banho,1400,25,10,25
automotivo,450,20,15,15
esporte_lazer,154,17,10,13
utilidades_domesticas,470,21,23,21
eletroportateis,650,16,10,16
informatica_acessorios,100,18,11,14
cama_mesa_banho,1600,40,20,20
moveis_decoracao,400,16,30,20
cama_mesa_banho,2350,33,7,37
utilidades_domesticas,975,31,12,21
moveis_decoracao,1800,30,6,20
cama_mesa_banho,1150,32,5,30
beleza_saude,1300,42,12,20
moveis_decoracao,1800,45,14,35
ferramentas_jardim,509,17,13,13
automotivo,100,16,15,16
esporte_lazer,8809,52,52,17
construcao_ferramentas_construcao,14900,48,30,48
moveis_decoracao,1050,100,7,15
cama_mesa_banho,950,29,10,25
cool_stuff,500,19,17,25
telefonia,100,18,6,14
cool_stuff,12400,35,35,50
papelaria,700,45,10,31
relogios_presentes,253,18,11,13
beleza_saude,1413,40,16,31
moveis_cozinha_area_de_servico_jantar_e_jardim,1150,27,15,16
bebes,18667,88,28,67
construcao_ferramentas_jardim,65,17,12,17
pet_shop,700,36,12,30
ferramentas_jardim,1075,34,31,34
pet_shop,4050,30,53,30
artigos_de_festas,200,16,6,11
cama_mesa_banho,1200,16,22,11
pet_shop,500,25,15,20
construcao_ferramentas_construcao,8817,43,24,47
musica,100,24,11,16
cool_stuff,2050,42,25,15
moveis_escritorio,13600,58,28,58
telefonia,250,17,4,12
eletronicos,24050,80,30,60
beleza_saude,300,27,11,15
relogios_presentes,667,20,17,18
construcao_ferramentas_construcao,7100,29,8,29
brinquedos,600,23,25,20
beleza_saude,1450,38,31,24
utilidades_domesticas,6250,53,23,28
telefonia_fixa,400,20,30,11
relogios_presentes,283,18,12,13
perfumaria,850,16,14,11
cama_mesa_banho,1200,40,10,37
automotivo,350,44,17,30
automotivo,200,16,15,15
telefonia,150,16,4,11
informatica_acessorios,250,42,2,30
malas_acessorios,2240,76,10,14
livros_tecnicos,213,21,2,14
brinquedos,1150,30,30,30
cama_mesa_banho,8850,16,10,16
utilidades_domesticas,10900,71,25,45
brinquedos,300,37,20,20
moveis_decoracao,600,17,17,17
fashion_bolsas_e_acessorios,415,23,19,18
brinquedos,400,30,10,20
cama_mesa_banho,8150,50,20,40
moveis_decoracao,5250,66,15,33
consoles_games,700,20,15,20
informatica_acessorios,650,34,15,15
informatica_acessorios,200,41,2,29
cool_stuff,1000,35,28,16
papelaria,1500,60,20,29
telefonia,253,20,10,18
papelaria,800,29,10,25
automotivo,7350,24,69,53
moveis_cozinha_area_de_servico_jantar_e_jardim,4400,27,27,37
brinquedos,1200,30,16,20
beleza_saude,1600,20,20,20
informatica_acessorios,250,16,15,15
telefonia,150,19,3,11
market_place,775,35,9,15
brinquedos,300,20,7,20
beleza_saude,150,20,10,20
moveis_decoracao,4000,52,6,52
esporte_lazer,500,20,6,15
esporte_lazer,100,16,6,11
automotivo,200,24,2,17
moveis_decoracao,800,68,8,13
esporte_lazer,300,20,10,15
esporte_lazer,2000,28,8,15
telefonia,300,16,7,11
livros_tecnicos,1900,30,6,30
musica,783,16,8,15
informatica_acessorios,775,21,18,26
utilidades_domesticas,1400,25,35,35
utilidades_domesticas,600,28,18,17
fashion_underwear_e_moda_praia,200,30,30,30
utilidades_domesticas,1000,29,19,21
utilidades_domesticas,1100,25,22,21
fashion_calcados,100,29,7,16
instrumentos_musicais,400,19,11,19
utilidades_domesticas,250,20,5,16
agro_industria_e_comercio,1050,38,41,39
fashion_bolsas_e_acessorios,300,30,26,22
brinquedos,2450,23,7,23
papelaria,400,25,10,17
moveis_decoracao,2200,34,8,22
perfumaria,500,20,12,15
cama_mesa_banho,1700,34,10,34
beleza_saude,325,25,10,13
esporte_lazer,150,18,7,14
perfumaria,200,22,3,11
construcao_ferramentas_construcao,6250,55,14,44
fashion_roupa_masculina,950,40,6,35
automotivo,200,32,8,26
cama_mesa_banho,6200,35,15,25
cool_stuff,1650,33,44,19
alimentos,3350,20,21,20
perfumaria,150,16,16,15
pet_shop,2900,83,82,12
artigos_de_festas,1550,23,17,18
automotivo,5750,30,19,31
automotivo,200,18,9,13
automotivo,350,25,10,20
malas_acessorios,700,16,30,20
beleza_saude,233,18,16,14
esporte_lazer,100,25,20,20
malas_acessorios,10700,40,100,16
bebes,750,50,5,40
automotivo,250,18,19,15
esporte_lazer,461,18,10,14
automotivo,4000,65,25,25
cama_mesa_banho,1250,16,10,16
beleza_saude,543,30,12,16
alimentos_bebidas,1000,28,13,13
automotivo,9050,56,11,32
cama_mesa_banho,1550,32,8,29
esporte_lazer,300,20,20,20
beleza_saude,500,30,14,16
utilidades_domesticas,9900,61,31,31
brinquedos,875,65,23,20
cama_mesa_banho,1100,40,10,30
instrumentos_musicais,200,16,12,20
telefonia,50,18,6,11
eletronicos,750,21,10,14
consoles_games,530,18,24,18
moveis_decoracao,400,40,15,40
beleza_saude,250,16,11,14
esporte_lazer,2000,20,40,30
cama_mesa_banho,2400,41,11,36
livros_tecnicos,500,23,2,16
telefonia_fixa,99,22,3,16
esporte_lazer,1150,16,12,12
cool_stuff,175,30,20,25
beleza_saude,217,17,13,15
fashion_bolsas_e_acessorios,100,16,5,16
perfumaria,700,20,20,20
informatica_acessorios,900,30,14,11
moveis_decoracao,200,27,10,12
automotivo,2800,95,7,33
utilidades_domesticas,1150,19,22,19
esporte_lazer,300,30,20,40
utilidades_domesticas,200,30,40,30
moveis_decoracao,2550,105,3,70
telefonia,200,18,3,16
cama_mesa_banho,10900,45,15,35
beleza_saude,300,17,14,14
brinquedos,450,20,31,30
relogios_presentes,584,16,11,13
cama_mesa_banho,2700,20,30,30
cama_mesa_banho,4200,34,10,38
brinquedos,300,20,20,20
cama_mesa_banho,1400,30,20,26
telefonia,600,23,18,20
cool_stuff,2250,34,52,30
artigos_de_festas,4500,102,12,12
pet_shop,500,20,20,20
esporte_lazer,900,23,18,18
relogios_presentes,450,16,11,12
casa_conforto,700,18,12,18
pet_shop,200,27,9,26
brinquedos,600,20,20,20
relogios_presentes,600,19,10,15
esporte_lazer,750,30,11,20
automotivo,100,16,5,16
consoles_games,110,17,2,14
beleza_saude,125,24,12,20
informatica_acessorios,133,16,12,15
esporte_lazer,750,23,28,38
automotivo,6700,70,25,22
moveis_cozinha_area_de_servico_jantar_e_jardim,16900,40,30,40
telefonia,100,17,4,12
utilidades_domesticas,150,26,16,16
cama_mesa_banho,550,23,37,35
moveis_decoracao,7000,25,25,25
esporte_lazer,1100,32,9,21
brinquedos,3850,35,26,41
automotivo,800,21,8,14
pet_shop,1500,50,30,33
perfumaria,450,16,16,22
esporte_lazer,2350,92,4,24
beleza_saude,700,28,10,11
automotivo,500,16,16,12
cama_mesa_banho,2100,40,6,29
automotivo,4700,47,19,23
esporte_lazer,200,20,20,20
cama_mesa_banho,900,16,10,16
perfumaria,400,18,18,18
informatica_acessorios,7000,57,11,52
esporte_lazer,400,22,5,20
pet_shop,1150,40,20,30
eletronicos,100,16,8,16
casa_construcao,10100,30,61,30
telefonia,250,16,8,11
automotivo,4500,59,10,59
esporte_lazer,1550,16,10,16
esporte_lazer,1000,20,20,14
cama_mesa_banho,3000,55,25,35
informatica_acessorios,150,16,5,15
utilidades_domesticas,2150,21,4,71
esporte_lazer,550,27,25,25
bebes,17600,65,36,45
utilidades_domesticas,250,16,23,14
beleza_saude,350,22,3,15
construcao_ferramentas_construcao,2700,16,11,11
malas_acessorios,17150,36,48,56
tablets_impressao_imagem,300,26,3,26
beleza_saude,250,17,12,12
bebes,300,16,8,11
utilidades_domesticas,650,20,11,15
automotivo,1700,34,18,16
cama_mesa_banho,6400,30,30,30
eletronicos,200,21,7,14
cama_mesa_banho,1350,50,11,11
brinquedos,263,19,14,16
livros_interesse_geral,1000,33,6,22
esporte_lazer,4350,20,20,20
moveis_decoracao,303,14,14,28
telefonia,200,22,16,16
alimentos_bebidas,2950,17,22,17
informatica_acessorios,100,16,8,11
cool_stuff,130,100,25,35
moveis_decoracao,250,20,20,20
moveis_decoracao,3300,19,7,16
eletrodomesticos,5500,29,37,25
construcao_ferramentas_construcao,4200,30,20,20
beleza_saude,217,17,10,14
moveis_sala,5600,20,5,60
beleza_saude,150,16,13,11
informatica_acessorios,239,27,8,16
livros_importados,1300,29,9,18
utilidades_domesticas,800,39,6,28
construcao_ferramentas_construcao,150,24,13,13
beleza_saude,580,39,11,15
automotivo,1600,25,9,17
informatica_acessorios,1000,20,20,20
construcao_ferramentas_jardim,1450,16,16,12
moveis_decoracao,600,30,4,20
automotivo,1200,19,6,14
alimentos,1376,23,15,21
informatica_acessorios,220,22,13,12
brinquedos,6084,68,14,68
relogios_presentes,400,16,11,20
beleza_saude,300,17,12,11
brinquedos,250,16,15,15
utilidades_domesticas,600,20,7,20
